Date,Open,High,Low,Close,Volume
2024-10-27 17:00:00+00:00,588.5,589.7,587.0,587.5,3376.039
2024-10-27 18:00:00+00:00,587.6,587.8,586.1,586.3,1913.672
2024-10-27 19:00:00+00:00,586.3,587.8,585.5,587.2,1957.605
2024-10-27 20:00:00+00:00,587.2,587.7,586.4,586.4,7170.865
2024-10-27 21:00:00+00:00,586.5,590.0,586.3,589.5,4313.105
2024-10-27 22:00:00+00:00,589.6,590.9,589.6,590.0,5121.409
2024-10-27 23:00:00+00:00,590.0,591.0,588.9,589.2,3924.842
2024-10-28 00:00:00+00:00,589.3,590.0,588.1,588.3,4852.739
2024-10-28 01:00:00+00:00,588.3,588.8,587.0,587.3,2867.502
2024-10-28 02:00:00+00:00,587.2,589.1,587.0,588.1,3179.904
2024-10-28 03:00:00+00:00,588.1,589.4,586.1,587.1,3687.931
2024-10-28 04:00:00+00:00,587.1,587.7,586.0,587.4,3796.265
2024-10-28 05:00:00+00:00,587.5,588.8,585.5,588.5,4783.696
2024-10-28 06:00:00+00:00,588.4,588.8,587.3,588.5,3461.316
2024-10-28 07:00:00+00:00,588.5,592.8,588.4,591.6,9602.256
2024-10-28 08:00:00+00:00,591.7,592.9,591.2,591.4,4641.028
2024-10-28 09:00:00+00:00,591.4,594.8,590.9,594.6,8763.329
2024-10-28 10:00:00+00:00,594.6,595.0,593.5,593.6,9459.154
2024-10-28 11:00:00+00:00,593.7,594.8,592.8,594.7,3769.373
2024-10-28 12:00:00+00:00,594.7,596.5,593.2,596.2,13723.576
2024-10-28 13:00:00+00:00,596.1,596.8,593.9,594.0,8370.113
2024-10-28 14:00:00+00:00,594.1,595.8,592.4,593.5,13112.195
2024-10-28 15:00:00+00:00,593.5,593.7,590.5,590.7,7881.585
2024-10-28 16:00:00+00:00,590.7,593.2,590.2,591.4,11590.746
2024-10-28 17:00:00+00:00,591.4,593.5,588.9,590.6,7060.592
2024-10-28 18:00:00+00:00,590.5,593.2,590.5,592.4,4499.034
2024-10-28 19:00:00+00:00,592.4,597.0,592.0,596.4,14918.807
2024-10-28 20:00:00+00:00,596.4,598.8,596.3,598.0,7544.814
2024-10-28 21:00:00+00:00,598.0,602.0,598.0,600.9,12180.323
2024-10-28 22:00:00+00:00,600.9,604.6,599.9,601.9,18778.779
2024-10-28 23:00:00+00:00,601.9,603.0,599.9,601.1,7290.825
2024-10-29 00:00:00+00:00,601.1,604.4,599.9,604.2,6935.222
2024-10-29 01:00:00+00:00,604.2,604.4,602.4,603.8,7041.295
2024-10-29 02:00:00+00:00,603.8,610.5,603.3,606.9,37790.193
2024-10-29 03:00:00+00:00,607.0,609.4,604.9,605.4,9887.024
2024-10-29 04:00:00+00:00,605.5,607.2,605.3,605.7,6957.338
2024-10-29 05:00:00+00:00,605.7,606.4,604.0,605.4,7821.977
2024-10-29 06:00:00+00:00,605.5,606.7,604.4,605.2,6247.228
2024-10-29 07:00:00+00:00,605.2,606.2,603.9,604.0,5651.82
2024-10-29 08:00:00+00:00,604.0,607.0,603.9,606.2,8404.795
2024-10-29 09:00:00+00:00,606.2,606.9,605.6,606.2,4647.723
2024-10-29 10:00:00+00:00,606.2,607.5,604.9,606.4,8928.191
2024-10-29 11:00:00+00:00,606.4,607.6,606.2,606.7,4647.653
2024-10-29 12:00:00+00:00,606.6,607.3,604.4,604.6,6106.931
2024-10-29 13:00:00+00:00,604.5,607.0,604.0,606.9,9076.299
2024-10-29 14:00:00+00:00,606.9,608.3,605.2,606.5,9179.599
2024-10-29 15:00:00+00:00,606.5,610.5,605.5,609.9,28285.788
2024-10-29 16:00:00+00:00,609.9,611.5,608.5,610.3,26497.046
2024-10-29 17:00:00+00:00,610.4,612.2,608.2,609.1,17209.381
2024-10-29 18:00:00+00:00,609.2,610.3,605.5,609.3,28327.362
2024-10-29 19:00:00+00:00,609.3,611.0,603.5,603.7,27609.668
2024-10-29 20:00:00+00:00,603.7,604.6,600.2,603.7,15115.504
2024-10-29 21:00:00+00:00,603.8,605.3,602.8,603.6,5774.967
2024-10-29 22:00:00+00:00,603.7,607.2,602.9,605.3,8393.233
2024-10-29 23:00:00+00:00,605.4,606.3,604.9,606.3,5019.12
2024-10-30 00:00:00+00:00,606.3,606.7,601.4,602.1,10505.371
2024-10-30 01:00:00+00:00,602.1,602.1,598.1,601.8,11560.088
2024-10-30 02:00:00+00:00,601.8,603.0,600.8,600.9,7753.583
2024-10-30 03:00:00+00:00,601.0,603.9,600.5,602.8,5232.915
2024-10-30 04:00:00+00:00,602.8,603.3,602.2,602.4,2374.05
2024-10-30 05:00:00+00:00,602.5,604.0,602.3,603.9,3170.523
2024-10-30 06:00:00+00:00,603.9,606.6,601.8,601.9,8203.5
2024-10-30 07:00:00+00:00,602.0,603.0,600.8,602.2,4459.13
2024-10-30 08:00:00+00:00,602.2,604.6,601.4,601.5,4826.714
2024-10-30 09:00:00+00:00,601.4,603.1,601.0,602.6,7114.583
2024-10-30 10:00:00+00:00,602.6,603.0,599.5,600.3,10006.851
2024-10-30 11:00:00+00:00,600.3,600.4,595.7,595.8,8803.133
2024-10-30 12:00:00+00:00,595.7,597.7,594.1,596.8,16253.678
2024-10-30 13:00:00+00:00,596.7,598.1,594.2,597.6,15226.078
2024-10-30 14:00:00+00:00,597.6,601.6,597.3,600.5,12634.087
2024-10-30 15:00:00+00:00,600.6,600.8,595.1,597.1,10436.943
2024-10-30 16:00:00+00:00,597.1,599.5,596.2,598.7,4121.617
2024-10-30 17:00:00+00:00,598.8,598.9,596.5,598.4,4530.279
2024-10-30 18:00:00+00:00,598.4,600.2,598.4,599.4,3701.163
2024-10-30 19:00:00+00:00,599.4,599.6,597.3,597.4,7891.015
2024-10-30 20:00:00+00:00,597.4,600.1,594.8,600.1,13511.273
2024-10-30 21:00:00+00:00,600.0,600.4,595.9,597.6,6359.086
2024-10-30 22:00:00+00:00,597.6,598.6,596.1,596.8,3875.124
2024-10-30 23:00:00+00:00,596.7,598.0,595.5,595.6,4155.497
2024-10-31 00:00:00+00:00,595.5,596.5,594.1,594.4,5653.231
2024-10-31 01:00:00+00:00,594.4,595.4,591.8,594.9,8722.979
2024-10-31 02:00:00+00:00,594.9,596.3,593.4,595.6,5276.038
2024-10-31 03:00:00+00:00,595.6,595.7,591.8,592.6,6610.251
2024-10-31 04:00:00+00:00,592.6,592.9,590.1,590.4,4445.196
2024-10-31 05:00:00+00:00,590.4,592.0,590.2,591.1,5910.184
2024-10-31 06:00:00+00:00,591.2,591.2,588.0,588.9,7660.81
2024-10-31 07:00:00+00:00,588.8,589.6,587.6,587.6,13338.332
2024-10-31 08:00:00+00:00,587.7,587.7,581.4,584.0,22060.826
2024-10-31 09:00:00+00:00,584.0,584.3,582.2,583.3,9071.05
2024-10-31 10:00:00+00:00,583.4,586.2,582.7,586.1,10119.249
2024-10-31 11:00:00+00:00,586.2,587.0,584.4,586.7,7065.289
2024-10-31 12:00:00+00:00,586.7,589.2,585.6,588.4,13175.485
2024-10-31 13:00:00+00:00,588.5,589.0,582.1,583.7,13799.911
2024-10-31 14:00:00+00:00,583.6,583.6,575.5,578.3,41554.659
2024-10-31 15:00:00+00:00,578.4,580.8,576.0,580.7,29129.8
2024-10-31 16:00:00+00:00,580.7,580.8,576.7,577.1,12375.732
2024-10-31 17:00:00+00:00,577.1,578.5,574.6,577.1,17166.097
2024-10-31 18:00:00+00:00,577.2,577.2,573.5,575.1,13844.412
2024-10-31 19:00:00+00:00,575.1,576.6,573.0,573.2,5511.497
