Date,Open,High,Low,Close,Volume
2024-10-27 17:00:00+00:00,176.72,177.8,176.01,176.19,257960.621
2024-10-27 18:00:00+00:00,176.19,177.34,175.77,175.83,98259.557
2024-10-27 19:00:00+00:00,175.83,177.35,175.62,177.21,72904.482
2024-10-27 20:00:00+00:00,177.21,177.49,176.61,176.91,60937.525
2024-10-27 21:00:00+00:00,176.9,178.1,176.6,177.08,87082.194
2024-10-27 22:00:00+00:00,177.08,178.18,177.08,177.76,90831.97
2024-10-27 23:00:00+00:00,177.76,178.27,176.58,176.63,92793.441
2024-10-28 00:00:00+00:00,176.63,177.19,175.81,176.06,104264.543
2024-10-28 01:00:00+00:00,176.05,176.58,175.5,175.66,74997.124
2024-10-28 02:00:00+00:00,175.66,176.15,174.68,175.16,138858.372
2024-10-28 03:00:00+00:00,175.17,176.72,175.03,175.74,115362.731
2024-10-28 04:00:00+00:00,175.74,175.74,173.72,175.28,162708.357
2024-10-28 05:00:00+00:00,175.27,175.27,173.14,174.38,188764.205
2024-10-28 06:00:00+00:00,174.37,174.71,173.39,174.56,83406.604
2024-10-28 07:00:00+00:00,174.56,176.75,174.41,175.69,175139.812
2024-10-28 08:00:00+00:00,175.69,177.49,175.62,176.87,115210.724
2024-10-28 09:00:00+00:00,176.86,177.86,176.42,177.79,126233.185
2024-10-28 10:00:00+00:00,177.78,178.59,177.19,177.28,177424.652
2024-10-28 11:00:00+00:00,177.29,177.83,176.72,176.95,99049.503
2024-10-28 12:00:00+00:00,176.95,177.95,176.31,177.57,166997.224
2024-10-28 13:00:00+00:00,177.56,177.89,175.03,175.19,236466.752
2024-10-28 14:00:00+00:00,175.19,175.68,173.26,175.0,352894.292
2024-10-28 15:00:00+00:00,175.0,175.03,173.25,173.39,196504.823
2024-10-28 16:00:00+00:00,173.39,175.21,173.08,173.82,134137.627
2024-10-28 17:00:00+00:00,173.83,175.91,172.45,174.78,201406.738
2024-10-28 18:00:00+00:00,174.78,175.94,174.62,175.4,91402.636
2024-10-28 19:00:00+00:00,175.39,178.05,175.22,176.42,320188.631
2024-10-28 20:00:00+00:00,176.4,176.63,175.75,176.62,69352.384
2024-10-28 21:00:00+00:00,176.62,177.91,176.31,177.62,81759.118
2024-10-28 22:00:00+00:00,177.62,179.8,177.6,178.64,320800.692
2024-10-28 23:00:00+00:00,178.65,179.5,177.83,178.29,143999.492
2024-10-29 00:00:00+00:00,178.28,179.01,177.32,178.67,115650.058
2024-10-29 01:00:00+00:00,178.67,178.7,177.14,178.29,129029.934
2024-10-29 02:00:00+00:00,178.29,182.3,177.93,180.85,481302.303
2024-10-29 03:00:00+00:00,180.84,182.0,180.43,181.81,212360.286
2024-10-29 04:00:00+00:00,181.81,182.78,181.59,181.97,179729.293
2024-10-29 05:00:00+00:00,181.98,182.0,180.35,180.91,105083.691
2024-10-29 06:00:00+00:00,180.9,181.28,180.07,180.32,77885.1
2024-10-29 07:00:00+00:00,180.32,180.61,179.5,180.16,86080.73
