symbol,buy_trades,sell_trades,profit,pnl,budget,total_fee,cash_end,active_positions,grid_space
btc,0,0,0.0,0.0,70,0.0,70.0,0,3.454476544561449
bnb,4,4,8.33427702360261,11.093791605255815,70,0.5686228999235385,86.09993114728168,0,4.282564154858161
eth,7,7,25.01023615053306,34.29244341231518,70,1.005525761912443,119.01494653915368,0,5.860741286025932
sol,7,7,24.51367137823027,33.5837752545028,70,1.0050287000783182,118.02231405638223,0,6.886827873908507
